Site,Year,Seeding,Cultivar,DOY,Rep,LAI,MTVI1,NDVI,OSAVI,RDVI
Gwangju,2018,Autumn,Hopum,95,2,7.77,1.02,0.93,0.71,0.78
Gwangju,2018,Autumn,Hopum,106,2,9.13,1,0.93,0.71,0.77
Gwangju,2018,Autumn,Hopum,111,2,9.4,0.9,0.93,0.7,0.73
Gwangju,2018,Autumn,Hopum,116,2,8,1,0.94,0.73,0.78
Gwangju,2018,Autumn,Hopum,125,2,7.5,0.57,0.85,0.59,0.56
Gwangju,2018,Autumn,Hopum,70,3,1.1,0.49,0.72,0.51,0.48
Gwangju,2018,Autumn,Hopum,72,3,1.56,0.55,0.79,0.56,0.53
Gwangju,2018,Autumn,Hopum,76,3,2.38,0.79,0.93,0.69,0.69
Gwangju,2018,Autumn,Hopum,81,3,3.47,0.75,0.93,0.68,0.67
Gwangju,2018,Autumn,Hopum,86,3,4.49,0.79,0.94,0.69,0.69
Gwangju,2018,Autumn,Hopum,90,3,5.57,0.91,0.95,0.72,0.75
Gwangju,2018,Autumn,Hopum,95,3,7.67,1.03,0.92,0.71,0.78
Gwangju,2018,Autumn,Hopum,106,3,7.57,1,0.93,0.71,0.77
Gwangju,2018,Autumn,Hopum,111,3,7.5,0.92,0.93,0.7,0.74
Gwangju,2018,Autumn,Hopum,116,3,7.12,0.98,0.94,0.72,0.77
Gwangju,2018,Autumn,Hopum,125,3,5.59,0.48,0.79,0.53,0.49
Gwangju,2018,Autumn,SaeChal,70,1,1.44,0.43,0.66,0.47,0.43
Gwangju,2018,Autumn,SaeChal,72,1,1.55,0.59,0.82,0.58,0.56
Gwangju,2018,Autumn,SaeChal,76,1,3.44,0.77,0.93,0.68,0.68
Gwangju,2018,Autumn,SaeChal,81,1,3.65,0.78,0.93,0.68,0.68
Gwangju,2018,Autumn,SaeChal,86,1,3.59,0.77,0.94,0.69,0.68
Gwangju,2018,Autumn,SaeChal,90,1,5.06,0.85,0.95,0.72,0.73
Gwangju,2018,Autumn,SaeChal,95,1,6.14,0.88,0.94,0.71,0.74
Gwangju,2018,Autumn,SaeChal,106,1,7.36,0.87,0.95,0.72,0.74
Gwangju,2018,Autumn,SaeChal,111,1,6.46,0.8,0.95,0.71,0.71
Gwangju,2018,Autumn,SaeChal,116,1,6.28,0.82,0.95,0.72,0.72
Gwangju,2018,Autumn,SaeChal,125,1,5.17,0.7,0.93,0.67,0.65
Gwangju,2018,Autumn,SaeChal,70,2,1.37,0.61,0.81,0.58,0.56
Gwangju,2018,Autumn,SaeChal,72,2,1.96,0.7,0.89,0.64,0.63
Gwangju,2018,Autumn,SaeChal,76,2,3.27,0.76,0.92,0.68,0.67
Gwangju,2018,Autumn,SaeChal,81,2,3.92,0.82,0.94,0.7,0.71
Gwangju,2018,Autumn,SaeChal,86,2,4.57,0.87,0.95,0.72,0.73
Gwangju,2018,Autumn,SaeChal,90,2,6.38,0.93,0.96,0.74,0.77
Gwangju,2018,Autumn,SaeChal,95,2,8.1,1.01,0.94,0.73,0.78
Gwangju,2018,Autumn,SaeChal,106,2,10.27,0.99,0.95,0.73,0.78
Gwangju,2018,Autumn,SaeChal,111,2,9.7,0.93,0.95,0.73,0.76
Gwangju,2018,Autumn,SaeChal,116,2,8.45,0.98,0.96,0.74,0.78
Gwangju,2018,Autumn,SaeChal,125,2,7.11,0.7,0.93,0.67,0.65
Gwangju,2018,Autumn,SaeChal,70,3,1.11,0.44,0.67,0.48,0.44
Gwangju,2018,Autumn,SaeChal,72,3,1.12,0.52,0.76,0.54,0.51
Gwangju,2018,Autumn,SaeChal,76,3,2.65,0.74,0.92,0.67,0.67
Gwangju,2018,Autumn,SaeChal,81,3,3.47,0.75,0.92,0.68,0.67
Gwangju,2018,Autumn,SaeChal,86,3,3.39,0.78,0.93,0.69,0.69
Gwangju,2018,Autumn,SaeChal,90,3,4.65,0.89,0.96,0.73,0.75
Gwangju,2018,Autumn,SaeChal,95,3,4.96,0.93,0.93,0.71,0.75
Gwangju,2018,Autumn,SaeChal,106,3,6.12,0.87,0.95,0.72,0.74
Gwangju,2018,Autumn,SaeChal,111,3,5.71,0.84,0.95,0.72,0.72
Gwangju,2018,Autumn,SaeChal,116,3,5.14,0.74,0.94,0.69,0.67
Gwangju,2018,Autumn,SaeChal,125,3,4.6,0.7,0.93,0.67,0.65
Jinju,2018,Autumn,SaeChal,87,1,0.45,0.34,0.44,0.33,0.32
Jinju,2018,Autumn,SaeChal,101,1,1.49,0.67,0.85,0.61,0.6
Jinju,2018,Autumn,SaeChal,115,1,2.67,0.66,0.89,0.63,0.61
Jinju,2018,Autumn,SaeChal,130,1,3.21,0.53,0.85,0.58,0.54
Jinju,2018,Autumn,SaeChal,144,1,2.71,0.31,0.61,0.39,0.34
Jinju,2018,Autumn,SaeChal,87,2,0.42,0.33,0.43,0.32,0.31
Jinju,2018,Autumn,SaeChal,101,2,1.41,0.66,0.84,0.6,0.59
Jinju,2018,Autumn,SaeChal,115,2,2.66,0.68,0.89,0.64,0.62
Jinju,2018,Autumn,SaeChal,130,2,3.14,0.52,0.84,0.57,0.53
Jinju,2018,Autumn,SaeChal,144,2,2.67,0.34,0.68,0.43,0.38
Gwangju,2018,Spring,KeunAl,100,1,0.95,0.29,0.4,0.3,0.28
Gwangju,2018,Spring,KeunAl,106,1,1.34,0.29,0.55,0.36,0.32
Gwangju,2018,Spring,KeunAl,111,1,1.84,0.38,0.49,0.36,0.34
Gwangju,2018,Spring,KeunAl,117,1,2.16,0.49,0.74,0.51,0.48
Gwangju,2018,Spring,KeunAl,124,1,3.05,0.61,0.82,0.58,0.56
Gwangju,2018,Spring,KeunAl,128,1,3.46,0.61,0.88,0.61,0.58
Gwangju,2018,Spring,KeunAl,134,1,3.86,0.6,0.88,0.6,0.58
Gwangju,2018,Spring,KeunAl,141,1,4.67,0.59,0.84,0.58,0.56
Gwangju,2018,Spring,KeunAl,149,1,3.83,0.52,0.74,0.52,0.49
Gwangju,2018,Spring,KeunAl,100,2,0.98,0.28,0.37,0.28,0.26
Gwangju,2018,Spring,KeunAl,106,2,1.06,0.27,0.51,0.34,0.3
Gwangju,2018,Spring,KeunAl,111,2,1.68,0.44,0.57,0.42,0.4
Gwangju,2018,Spring,KeunAl,117,2,2.06,0.5,0.76,0.52,0.49
Gwangju,2018,Spring,KeunAl,124,2,3.11,0.59,0.81,0.58,0.55
Gwangju,2018,Spring,KeunAl,128,2,3.24,0.6,0.88,0.61,0.58
Gwangju,2018,Spring,KeunAl,134,2,3.79,0.6,0.88,0.6,0.58
Gwangju,2018,Spring,KeunAl,141,2,4.03,0.57,0.83,0.57,0.55
Gwangju,2018,Spring,KeunAl,149,2,3.59,0.54,0.74,0.53,0.5
Gwangju,2018,Spring,KeunAl,100,3,0.98,0.28,0.37,0.28,0.26
Gwangju,2018,Spring,KeunAl,106,3,1.05,0.27,0.49,0.33,0.29
Gwangju,2018,Spring,KeunAl,111,3,1.74,0.45,0.58,0.42,0.41
Gwangju,2018,Spring,KeunAl,117,3,1.97,0.52,0.78,0.54,0.51
Gwangju,2018,Spring,KeunAl,124,3,2.71,0.53,0.74,0.52,0.5
Gwangju,2018,Spring,KeunAl,128,3,3.03,0.53,0.83,0.56,0.52
Gwangju,2018,Spring,KeunAl,134,3,3.44,0.51,0.81,0.54,0.5
Gwangju,2018,Spring,KeunAl,141,3,4.2,0.5,0.74,0.51,0.48
Gwangju,2018,Spring,KeunAl,149,3,3.25,0.45,0.65,0.46,0.43
Gwangju,2019,Autumn,HeenChal,59,1,0.85,0.47,0.61,0.46,0.43
Gwangju,2019,Autumn,HeenChal,67,1,1.46,0.55,0.71,0.54,0.5
Gwangju,2019,Autumn,HeenChal,75,1,1.55,0.5,0.71,0.53,0.48
Gwangju,2019,Autumn,HeenChal,83,1,2.16,0.52,0.77,0.56,0.51
Gwangju,2019,Autumn,HeenChal,94,1,2.96,0.53,0.67,0.51,0.48
Gwangju,2019,Autumn,HeenChal,120,1,2.78,0.53,0.85,0.61,0.54
Gwangju,2019,Autumn,HeenChal,130,1,2.64,0.49,0.75,0.55,0.49
Gwangju,2019,Autumn,HeenChal,150,1,2.18,0.08,0.21,0.17,0.16
Gwangju,2019,Autumn,HeenChal,59,2,1.06,0.52,0.67,0.51,0.48
Gwangju,2019,Autumn,HeenChal,67,2,1.35,0.58,0.75,0.57,0.53
Gwangju,2019,Autumn,HeenChal,75,2,2.14,0.54,0.76,0.56,0.52
Gwangju,2019,Autumn,HeenChal,83,2,2.16,0.62,0.86,0.64,0.59
Gwangju,2019,Autumn,HeenChal,94,2,3.46,0.64,0.8,0.61,0.58
Gwangju,2019,Autumn,HeenChal,120,2,2.58,0.56,0.87,0.63,0.56
Gwangju,2019,Autumn,HeenChal,130,2,2.87,0.6,0.85,0.63,0.58
Gwangju,2019,Autumn,HeenChal,150,2,2.46,0.08,0.21,0.17,0.16
Gwangju,2019,Autumn,HeenChal,59,3,0.74,0.56,0.71,0.54,0.51
Gwangju,2019,Autumn,HeenChal,67,3,1.61,0.57,0.74,0.57,0.53
Gwangju,2019,Autumn,HeenChal,75,3,1.87,0.58,0.81,0.6,0.55
Gwangju,2019,Autumn,HeenChal,83,3,2.65,0.66,0.88,0.66,0.62
Gwangju,2019,Autumn,HeenChal,94,3,3.13,0.67,0.84,0.64,0.61
Gwangju,2019,Autumn,HeenChal,120,3,3.96,0.71,0.93,0.7,0.66
Gwangju,2019,Autumn,HeenChal,130,3,2.68,0.6,0.83,0.62,0.57
Gwangju,2019,Autumn,HeenChal,150,3,2.19,0.08,0.21,0.17,0.16
Jinju,2020,Autumn,HeenChal,62,1,1.47,0.61,0.81,0.6,0.55
Jinju,2020,Autumn,HeenChal,79,1,1.56,0.68,0.8,0.62,0.58
Jinju,2020,Autumn,HeenChal,95,1,2.22,0.57,0.76,0.57,0.53
Jinju,2020,Autumn,HeenChal,107,1,2.32,0.46,0.7,0.51,0.46
Jinju,2020,Autumn,HeenChal,129,1,1.76,0.29,0.45,0.33,0.3
Jinju,2020,Autumn,HeenChal,62,2,1.56,0.61,0.77,0.58,0.54
Jinju,2020,Autumn,HeenChal,79,2,2.32,0.74,0.83,0.64,0.62
Jinju,2020,Autumn,HeenChal,95,2,2.53,0.64,0.78,0.59,0.56
Jinju,2020,Autumn,HeenChal,107,2,2.28,0.5,0.69,0.52,0.47
Jinju,2020,Autumn,HeenChal,129,2,1.62,0.28,0.43,0.32,0.29
Jinju,2020,Autumn,HeenChal,62,3,1.76,0.67,0.82,0.62,0.58
Jinju,2020,Autumn,HeenChal,79,3,2.34,0.72,0.82,0.63,0.6
Jinju,2020,Autumn,HeenChal,95,3,2.32,0.6,0.76,0.58,0.54
Jinju,2020,Autumn,HeenChal,107,3,2.3,0.56,0.76,0.57,0.52
Jinju,2020,Autumn,HeenChal,129,3,2.01,0.38,0.58,0.42,0.38
Jinju,2020,Spring,HeenChal,93,1,0.82,0.57,0.76,0.57,0.53
Jinju,2020,Spring,HeenChal,107,1,1.17,0.24,0.38,0.28,0.25
Jinju,2020,Spring,HeenChal,129,1,1.88,0.26,0.43,0.31,0.28
Jinju,2020,Spring,HeenChal,143,1,2.09,0.3,0.47,0.34,0.31
Jinju,2020,Spring,HeenChal,93,2,1.18,0.64,0.78,0.59,0.56
Jinju,2020,Spring,HeenChal,107,2,1.41,0.22,0.36,0.26,0.24
Jinju,2020,Spring,HeenChal,129,2,1.67,0.21,0.39,0.28,0.25
Jinju,2020,Spring,HeenChal,143,2,1.99,0.22,0.38,0.27,0.25
Jinju,2020,Spring,HeenChal,93,3,0.89,0.6,0.76,0.58,0.54
Jinju,2020,Spring,HeenChal,107,3,1.39,0.27,0.42,0.31,0.28
Jinju,2020,Spring,HeenChal,129,3,1.78,0.38,0.58,0.43,0.38
Jinju,2020,Spring,HeenChal,143,3,1.72,0.23,0.38,0.28,0.25
JINJU,2021,Fall,HeenChal,59,1,0.29,0.29,0.43,0.32,0.3
JINJU,2021,Fall,HeenChal,59,2,0.47,0.45,0.59,0.45,0.42
JINJU,2021,Fall,HeenChal,59,3,0.63,0.4,0.56,0.42,0.39
JINJU,2021,Fall,HeenChal,69,1,0.59,0.34,0.86,0.51,0.42
JINJU,2021,Fall,HeenChal,69,2,0.85,0.44,0.88,0.59,0.5
JINJU,2021,Fall,HeenChal,69,3,1.22,0.45,0.86,0.58,0.5
JINJU,2021,Fall,HeenChal,84,1,1.71,0.42,0.96,0.61,0.5
JINJU,2021,Fall,HeenChal,84,2,1.94,0.45,0.97,0.63,0.53
JINJU,2021,Fall,HeenChal,84,3,1.82,0.46,0.97,0.64,0.54
JINJU,2021,Fall,HeenChal,97,1,2.59,0.53,0.89,0.62,0.54
JINJU,2021,Fall,HeenChal,97,2,2.82,0.53,0.88,0.61,0.53
JINJU,2021,Fall,HeenChal,97,3,2.84,0.53,0.89,0.62,0.54
JINJU,2021,Fall,HeenChal,127,1,1.69,0.35,0.61,0.43,0.38
JINJU,2021,Fall,HeenChal,127,2,2.38,0.42,0.69,0.49,0.43
JINJU,2021,Fall,HeenChal,127,3,2.39,0.4,0.68,0.48,0.42
JINJU,2021,Spring,HeenChal,84,1,0.34,0.16,0.51,0.25,0.2
JINJU,2021,Spring,HeenChal,84,2,0.31,0.16,0.49,0.24,0.19
JINJU,2021,Spring,HeenChal,84,3,0.34,0.16,0.48,0.24,0.19
JINJU,2021,Spring,HeenChal,97,1,1.66,0.38,0.74,0.49,0.42
JINJU,2021,Spring,HeenChal,97,2,1.51,0.41,0.79,0.53,0.45
JINJU,2021,Spring,HeenChal,97,3,1.75,0.42,0.79,0.53,0.45
JINJU,2021,Spring,HeenChal,127,1,2.78,0.52,0.84,0.6,0.54
JINJU,2021,Spring,HeenChal,127,2,2.62,0.48,0.8,0.57,0.5
JINJU,2021,Spring,HeenChal,127,3,2.58,0.5,0.83,0.59,0.52
JINJU,2021,Spring,HeenChal,148,1,1.6,0.06,0.25,0.17,0.14
JINJU,2021,Spring,HeenChal,148,2,1.43,0.07,0.25,0.17,0.14
JINJU,2021,Spring,HeenChal,148,3,1.53,0.12,0.32,0.21,0.18
