Site,Year,Cultivar,Cultivation,DOY,LAI,R460,R560,R660,R800,MTVI1,NDVI,OSAVI,RDVI
CNU,2018,Kwangpyoungok,Rotary+tillage,249,2.22,0.02,0.052,0.026,0.398,0.58,0.88,0.64,0.57
CNU,2018,Kwangpyoungok,Rotary+tillage,262,2.87,0.019,0.048,0.027,0.411,0.59,0.88,0.64,0.58
CNU,2018,Kwangpyoungok,Rotary+tillage,276,2.67,0.018,0.049,0.027,0.383,0.55,0.87,0.63,0.56
CNU,2018,Kwangpyoungok,Rotary+tillage,285,2.33,0.022,0.058,0.034,0.385,0.54,0.84,0.61,0.54
CNU,2018,Kwangpyoungok,Rotary+tillage,294,2.03,0.026,0.076,0.041,0.482,0.69,0.84,0.65,0.61
CNU,2018,Kwangpyoungok,Rotary,227,0.59,0.071,0.147,0.147,0.347,0.29,0.4,0.31,0.28
CNU,2018,Kwangpyoungok,Rotary,234,1.23,0.045,0.1,0.084,0.376,0.44,0.63,0.47,0.43
CNU,2018,Kwangpyoungok,Rotary,241,1.75,0.021,0.057,0.029,0.391,0.57,0.86,0.62,0.56
CNU,2018,Kwangpyoungok,Rotary,249,2.31,0.019,0.052,0.025,0.413,0.6,0.89,0.65,0.59
CNU,2018,Kwangpyoungok,Rotary,262,3.07,0.019,0.046,0.025,0.43,0.62,0.89,0.66,0.6
CNU,2018,Kwangpyoungok,Rotary,276,2.59,0.021,0.058,0.035,0.451,0.64,0.86,0.64,0.6
CNU,2018,Kwangpyoungok,Rotary,285,2.29,0.026,0.069,0.038,0.44,0.63,0.84,0.63,0.58
CNU,2018,Kwangpyoungok,Rotary,294,2.11,0.024,0.059,0.041,0.427,0.58,0.82,0.61,0.56
CNU,2021,Kangil,1-Jan,159,0.41,0.03,0.09,0.06,0.3,0.4,0.68,0.47,0.41
CNU,2021,Kangil,2-Jan,159,0.42,0.03,0.09,0.06,0.25,0.3,0.59,0.39,0.33
CNU,2021,Kangil,3-Jan,159,0.42,0.04,0.1,0.09,0.24,0.26,0.48,0.32,0.28
CNU,2021,Kangil,4-Jan,159,0.43,0.03,0.09,0.07,0.26,0.3,0.57,0.38,0.32
CNU,2021,Dream,1-Jan,159,0.47,0.03,0.08,0.05,0.28,0.38,0.69,0.46,0.4
CNU,2021,Dream,2-Jan,159,0.38,0.03,0.08,0.05,0.23,0.3,0.63,0.4,0.33
CNU,2021,Dream,3-Jan,159,0.47,0.04,0.11,0.09,0.26,0.28,0.5,0.34,0.29
CNU,2021,Dream,4-Jan,159,0.48,0.03,0.08,0.06,0.25,0.33,0.64,0.42,0.36
CNU,2021,Daeryuk,1-Jan,159,0.41,0.03,0.09,0.07,0.29,0.35,0.61,0.42,0.37
CNU,2021,Daeryuk,2-Jan,159,0.36,0.03,0.09,0.06,0.26,0.34,0.65,0.43,0.36
CNU,2021,Daeryuk,3-Jan,159,0.8,0.03,0.09,0.06,0.3,0.39,0.65,0.45,0.39
CNU,2021,Daeryuk,4-Jan,159,0.86,0.03,0.08,0.05,0.33,0.46,0.76,0.53,0.47
CNU,2021,Kangil,1-Jan,178,1.6,0.02,0.07,0.03,0.43,0.64,0.88,0.65,0.59
CNU,2021,Kangil,2-Jan,178,1.69,0.02,0.07,0.03,0.43,0.64,0.88,0.65,0.6
CNU,2021,Kangil,3-Jan,178,1.44,0.02,0.07,0.03,0.38,0.56,0.85,0.61,0.55
CNU,2021,Kangil,4-Jan,178,1.73,0.02,0.06,0.02,0.39,0.59,0.88,0.64,0.57
CNU,2021,Dream,1-Jan,178,1.64,0.02,0.07,0.03,0.48,0.72,0.89,0.68,0.63
CNU,2021,Dream,2-Jan,178,1.57,0.02,0.07,0.03,0.45,0.67,0.87,0.65,0.6
CNU,2021,Dream,3-Jan,178,1.48,0.03,0.08,0.04,0.36,0.53,0.81,0.58,0.51
CNU,2021,Dream,4-Jan,178,1.96,0.02,0.07,0.03,0.38,0.57,0.86,0.62,0.55
CNU,2021,Daeryuk,1-Jan,178,1.48,0.02,0.07,0.03,0.39,0.58,0.88,0.63,0.56
CNU,2021,Daeryuk,2-Jan,178,1.29,0.02,0.06,0.03,0.38,0.56,0.86,0.62,0.55
CNU,2021,Daeryuk,3-Jan,178,1.6,0.02,0.06,0.03,0.4,0.6,0.88,0.64,0.58
CNU,2021,Daeryuk,4-Jan,178,2,0.01,0.06,0.02,0.41,0.61,0.9,0.65,0.59
CNU,2021,Kangil,1-Jan,195,2.54,0.02,0.06,0.02,0.41,0.61,0.89,0.65,0.59
CNU,2021,Kangil,2-Jan,195,2.4,0.02,0.06,0.03,0.46,0.67,0.87,0.66,0.61
CNU,2021,Kangil,3-Jan,195,2.38,0.02,0.07,0.03,0.46,0.69,0.88,0.67,0.62
CNU,2021,Kangil,4-Jan,195,2.46,0.02,0.07,0.03,0.47,0.69,0.87,0.66,0.61
CNU,2021,Dream,1-Jan,195,2.29,0.02,0.07,0.03,0.46,0.68,0.87,0.66,0.61
CNU,2021,Dream,2-Jan,195,2.17,0.02,0.08,0.03,0.46,0.69,0.86,0.65,0.61
CNU,2021,Dream,3-Jan,195,1.96,0.02,0.08,0.04,0.42,0.6,0.82,0.61,0.56
CNU,2021,Dream,4-Jan,195,2.18,0.02,0.08,0.03,0.45,0.67,0.86,0.65,0.6
CNU,2021,Daeryuk,1-Jan,195,2.24,0.02,0.06,0.03,0.4,0.59,0.86,0.63,0.57
CNU,2021,Daeryuk,2-Jan,195,1.78,0.02,0.07,0.03,0.44,0.65,0.87,0.65,0.6
CNU,2021,Daeryuk,3-Jan,195,2.18,0.02,0.07,0.03,0.45,0.66,0.88,0.66,0.61
CNU,2021,Daeryuk,4-Jan,195,2.21,0.01,0.05,0.03,0.41,0.6,0.88,0.64,0.58
CNU,2021,Kangil,1-Jan,204,2.57,0.02,0.07,0.03,0.41,0.6,0.85,0.63,0.57
CNU,2021,Kangil,2-Jan,204,2.49,0.02,0.07,0.04,0.43,0.63,0.84,0.63,0.58
CNU,2021,Kangil,3-Jan,204,2.19,0.02,0.07,0.03,0.43,0.63,0.87,0.64,0.59
CNU,2021,Kangil,4-Jan,204,2.47,0.02,0.07,0.03,0.42,0.63,0.87,0.64,0.58
CNU,2021,Dream,1-Jan,204,2.16,0.02,0.08,0.04,0.45,0.65,0.83,0.63,0.59
CNU,2021,Dream,2-Jan,204,2,0.02,0.07,0.03,0.46,0.68,0.87,0.65,0.61
CNU,2021,Dream,3-Jan,204,1.99,0.02,0.07,0.03,0.43,0.64,0.86,0.64,0.59
CNU,2021,Dream,4-Jan,204,2.38,0.02,0.07,0.03,0.44,0.65,0.86,0.64,0.59
CNU,2021,Daeryuk,1-Jan,204,2.06,0.02,0.07,0.04,0.43,0.62,0.84,0.63,0.58
CNU,2021,Daeryuk,2-Jan,204,1.89,0.02,0.06,0.03,0.42,0.62,0.87,0.64,0.58
CNU,2021,Daeryuk,3-Jan,204,2.23,0.03,0.09,0.05,0.48,0.68,0.81,0.62,0.59
CNU,2021,Daeryuk,4-Jan,204,2.39,0.02,0.08,0.03,0.51,0.75,0.87,0.67,0.64
CNU,2021,Kangil,1-Jan,209,2.23,0.02,0.08,0.04,0.46,0.66,0.84,0.63,0.59
CNU,2021,Kangil,2-Jan,209,2.44,0.02,0.07,0.03,0.41,0.59,0.84,0.62,0.56
CNU,2021,Kangil,3-Jan,209,2.04,0.03,0.08,0.05,0.46,0.66,0.82,0.62,0.58
CNU,2021,Kangil,4-Jan,209,2.34,0.02,0.08,0.04,0.44,0.64,0.83,0.63,0.58
CNU,2021,Dream,1-Jan,209,2.1,0.03,0.08,0.04,0.37,0.53,0.78,0.57,0.5
CNU,2021,Dream,2-Jan,209,1.95,0.02,0.07,0.05,0.4,0.55,0.79,0.58,0.53
CNU,2021,Dream,3-Jan,209,1.98,0.02,0.08,0.05,0.38,0.53,0.78,0.57,0.51
CNU,2021,Dream,4-Jan,209,2.17,0.03,0.09,0.05,0.44,0.61,0.79,0.6,0.55
CNU,2021,Daeryuk,1-Jan,209,1.97,0.02,0.06,0.04,0.36,0.5,0.81,0.57,0.51
CNU,2021,Daeryuk,2-Jan,209,1.92,0.02,0.08,0.04,0.42,0.6,0.83,0.61,0.56
CNU,2021,Daeryuk,3-Jan,209,2.14,0.02,0.07,0.04,0.38,0.54,0.82,0.59,0.53
CNU,2021,Daeryuk,4-Jan,209,2.19,0.02,0.07,0.03,0.43,0.64,0.88,0.65,0.59
CNU,2021,Kangil,1-Jan,217,2.36,0.03,0.08,0.05,0.38,0.52,0.77,0.56,0.5
CNU,2021,Kangil,2-Jan,217,2.22,0.02,0.08,0.04,0.42,0.59,0.81,0.6,0.55
CNU,2021,Kangil,3-Jan,217,2.19,0.03,0.09,0.06,0.42,0.58,0.77,0.57,0.53
CNU,2021,Kangil,4-Jan,217,2.33,0.03,0.09,0.05,0.44,0.63,0.81,0.61,0.56
CNU,2021,Dream,1-Jan,217,2.36,0.03,0.09,0.06,0.42,0.58,0.76,0.57,0.52
CNU,2021,Dream,2-Jan,217,1.87,0.03,0.09,0.06,0.39,0.52,0.73,0.54,0.49
CNU,2021,Dream,3-Jan,217,2.07,0.03,0.09,0.05,0.39,0.54,0.76,0.56,0.51
CNU,2021,Dream,4-Jan,217,2.24,0.02,0.08,0.05,0.42,0.6,0.8,0.6,0.55
CNU,2021,Daeryuk,1-Jan,217,2.11,0.02,0.07,0.04,0.35,0.51,0.8,0.57,0.5
CNU,2021,Daeryuk,2-Jan,217,1.69,0.02,0.07,0.04,0.37,0.54,0.82,0.59,0.53
CNU,2021,Daeryuk,3-Jan,217,2.25,0.02,0.07,0.04,0.38,0.53,0.81,0.58,0.52
CNU,2021,Daeryuk,4-Jan,217,2.23,0.02,0.07,0.04,0.41,0.6,0.84,0.62,0.56
CNU,2021,Kangil,1-Jan,228,1.99,0.03,0.09,0.05,0.42,0.58,0.78,0.58,0.53
CNU,2021,Kangil,2-Jan,228,2.12,0.03,0.1,0.07,0.39,0.49,0.69,0.51,0.47
CNU,2021,Kangil,3-Jan,228,1.91,0.03,0.11,0.05,0.41,0.61,0.77,0.58,0.53
CNU,2021,Kangil,4-Jan,228,2.21,0.02,0.07,0.04,0.33,0.47,0.79,0.55,0.48
CNU,2021,Dream,1-Jan,228,1.8,0.03,0.09,0.06,0.33,0.44,0.7,0.5,0.44
CNU,2021,Dream,2-Jan,228,1.68,0.03,0.1,0.06,0.36,0.48,0.7,0.51,0.46
CNU,2021,Dream,3-Jan,228,1.71,0.03,0.1,0.06,0.34,0.46,0.7,0.5,0.44
CNU,2021,Dream,4-Jan,228,1.96,0.03,0.09,0.06,0.33,0.44,0.7,0.5,0.44
CNU,2021,Daeryuk,1-Jan,228,1.58,0.02,0.08,0.07,0.27,0.31,0.6,0.41,0.35
CNU,2021,Daeryuk,2-Jan,228,1.52,0.02,0.09,0.06,0.34,0.45,0.7,0.5,0.44
CNU,2021,Daeryuk,3-Jan,228,1.61,0.03,0.1,0.08,0.34,0.43,0.63,0.46,0.41
CNU,2021,Daeryuk,4-Jan,228,1.8,0.02,0.07,0.06,0.31,0.37,0.66,0.46,0.4
